school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,health,absences,G1,G2,G3,Walc_bin
GP,F,18,Urban,GT3,alone,higher education,higher education,at_home,teacher,course,mother,15-30 min,2-5 hrs,0,yes,no,no,no,yes,yes,no,no,good,moderate,high,very low,moderate,6,5,6,6,no
GP,F,17,Urban,GT3,together,4th grade,4th grade,at_home,other,course,father,<15 min,2-5 hrs,0,no,yes,no,no,no,yes,yes,no,excellent,moderate,moderate,very low,moderate,4,5,5,6,no
GP,F,15,Urban,LE3,together,4th grade,4th grade,at_home,other,other,mother,<15 min,2-5 hrs,3,yes,no,yes,no,yes,yes,yes,no,good,moderate,low,low,moderate,10,7,8,10,yes
GP,F,15,Urban,GT3,together,higher education,5th - 9th grade,health,services,home,mother,<15 min,5-10 hrs,0,no,yes,yes,yes,yes,yes,yes,yes,moderate,low,low,very low,very good,2,15,14,15,no
GP,F,16,Urban,GT3,together,secondary education,secondary education,other,other,home,father,<15 min,2-5 hrs,0,no,yes,yes,no,yes,yes,no,no,good,moderate,low,very low,very good,4,6,10,10,yes
GP,M,16,Urban,LE3,together,higher education,secondary education,services,other,reputation,mother,<15 min,2-5 hrs,0,no,yes,yes,yes,yes,yes,yes,no,excellent,high,low,very low,very good,10,15,15,15,yes
GP,M,16,Urban,LE3,together,5th - 9th grade,5th - 9th grade,other,other,home,mother,<15 min,2-5 hrs,0,no,no,no,no,yes,yes,yes,no,good,high,high,very low,moderate,0,12,12,11,no
GP,F,17,Urban,GT3,alone,higher education,higher education,other,teacher,home,mother,15-30 min,2-5 hrs,0,yes,yes,no,no,yes,yes,no,no,good,very low,high,very low,very bad,6,6,5,6,no
GP,M,15,Urban,LE3,alone,secondary education,5th - 9th grade,services,other,home,mother,<15 min,2-5 hrs,0,no,yes,yes,no,yes,yes,yes,no,good,low,low,very low,very bad,0,16,18,19,no
GP,M,15,Urban,GT3,together,secondary education,higher education,other,other,home,mother,<15 min,2-5 hrs,0,no,yes,yes,yes,yes,yes,yes,no,excellent,very high,very low,very low,very good,0,14,15,15,no
GP,F,15,Urban,GT3,together,higher education,higher education,teacher,health,reputation,mother,<15 min,2-5 hrs,0,no,yes,yes,no,yes,yes,yes,no,moderate,moderate,moderate,very low,bad,0,10,8,9,yes
